file_bytes,b64_chars,tokens_o200k,analytic_tokens,tokens_per_byte
64,88,57,22.0,0.890625
90,120,80,30.0,0.8888888888888888
128,172,117,43.0,0.9140625
181,244,162,61.0,0.8950276243093923
256,344,233,86.0,0.91015625
362,484,325,121.0,0.8977900552486188
512,684,460,171.0,0.8984375
724,968,651,242.0,0.899171270718232
1024,1368,926,342.0,0.904296875
1448,1932,1301,483.0,0.8984806629834254
2048,2732,1846,683.0,0.9013671875
2896,3864,2605,966.0,0.8995165745856354
4096,5464,3698,1366.0,0.90283203125
5792,7724,5221,1931.0,0.9014157458563536
8192,10924,7390,2731.0,0.902099609375
11585,15448,10454,3862.0,0.9023737591713422
16384,21848,14786,5462.0,0.9024658203125
23170,30896,20909,7724.0,0.9024169184290031
32768,43692,29566,10923.0,0.90228271484375
46340,61788,41816,15447.0,0.9023737591713422
65536,87384,59138,21846.0,0.902374267578125
92681,123576,83627,30894.0,0.9023100743410192
131072,174764,118270,43691.0,0.9023284912109375
185363,247152,167262,61788.0,0.9023483650998312
262144,349528,236546,87382.0,0.9023513793945312
370727,494304,334517,123576.0,0.9023270492842442
524288,699052,473086,174763.0,0.9023399353027344
741455,988608,669047,247152.0,0.9023433654099035
1048576,1398104,946178,349526.0,0.9023456573486328
1482910,1977216,1338090,494304.0,0.9023406680108705
2097152,2796204,1892350,699051.0,0.9023427963256836
2965820,3954428,2676182,988607.0,0.9023413423606288
4194304,5592408,3784706,1398102.0,0.9023442268371582
5931641,7908856,5352377,1977214.0,0.9023433818735828
8388608,11184812,7569406,2796203.0,0.9023435115814209
